Year,id,State,Population,Index offenses total,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Index offense rate,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
2009,26,Michigan,9969727,333844,49825,623,4524,12427,32251,284019,76046,178628,29345,3348.6,499.8,6.2,45.4,124.6,323.5,2848.8,762.8,1791.7,294.3
2009,44,Rhode Island,1053209,30236,2678,32,296,785,1565,27558,5753,19403,2402,2870.9,254.3,3,28.1,74.5,148.6,2616.6,546.2,1842.3,228.1
2009,51,Virginia,7882590,212215,18195,370,1572,6342,9911,194020,31956,150374,11690,2692.2,230.8,4.7,19.9,80.5,125.7,2461.4,405.4,1907.7,148.3
2009,53,Washington,6664195,267627,22412,190,2583,6711,12928,245215,53047,168421,23747,4015.9,336.3,2.9,38.8,100.7,194,3679.6,796,2527.3,356.3
2010,2,Alaska,714146,24796,4537,31,533,594,3379,20259,3105,15535,1619,3472.1,635.3,4.3,74.6,83.2,473.2,2836.8,434.8,2175.3,226.7
2010,15,Hawaii,1363359,49270,3603,25,377,1065,2136,45667,8706,31681,5280,3613.9,264.3,1.8,27.7,78.1,156.7,3349.6,638.6,2323.7,387.3
2010,24,Maryland,5785681,204916,31607,426,1228,11054,18899,173309,36704,118578,18027,3541.8,546.3,7.4,21.2,191.1,326.7,2995.5,634.4,2049.5,311.6
2010,26,Michigan,9877143,320194,48693,580,4733,11522,31858,271501,74345,169748,27408,3241.8,493,5.9,47.9,116.7,322.5,2748.8,752.7,1718.6,277.5
2010,44,Rhode Island,1052528,29668,2709,29,298,782,1600,26959,6124,18432,2403,2818.8,257.4,2.8,28.3,74.3,152,2561.4,581.8,1751.2,228.3
2010,51,Virginia,8023953,204587,17184,376,1580,5678,9550,187403,30804,145990,10609,2549.7,214.2,4.7,19.7,70.8,119,2335.5,383.9,1819.4,132.2
2010,53,Washington,6742950,270564,21138,154,2579,5929,12476,249426,55192,168490,25744,4012.6,313.5,2.3,38.2,87.9,185,3699.1,818.5,2498.8,381.8
2011,2,Alaska,723860,23510,4416,30,436,576,3374,19094,2852,14854,1388,3247.9,610.1,4.1,60.2,79.6,466.1,2637.8,394,2052.1,191.7
2011,15,Hawaii,1378129,47339,3465,20,353,994,2098,43874,8165,31240,4469,3435,251.4,1.5,25.6,72.1,152.2,3183.6,592.5,2266.8,324.3
2011,24,Maryland,5839572,195663,28817,399,1200,10342,16876,166846,35823,114951,16072,3350.7,493.5,6.8,20.5,177.1,289,2857.2,613.5,1968.5,275.2
2011,26,Michigan,9876801,295060,43731,617,4344,10263,28507,251329,69755,156666,24908,2987.4,442.8,6.2,44,103.9,288.6,2544.6,706.3,1586.2,252.2
2011,44,Rhode Island,1050646,30562,2586,20,319,744,1503,27976,6836,18765,2375,2908.8,246.1,1.9,30.4,70.8,143.1,2662.7,650.6,1786,226.1
2011,51,Virginia,8104384,198916,16014,304,1591,5425,8694,182902,30656,142476,9770,2454.4,197.6,3.8,19.6,66.9,107.3,2256.8,378.3,1758,120.6
2011,53,Washington,6823267,264361,20152,163,2320,5627,12042,244209,56561,162828,24820,3874.4,295.3,2.4,34,82.5,176.5,3579.1,828.9,2386.4,363.8
2012,2,Alaska,730307,24449,4412,30,583,630,3169,20037,2950,15565,1522,3347.7,604.1,4.1,79.8,86.3,433.9,2743.6,403.9,2131.3,208.4
2012,15,Hawaii,1390090,46797,3378,21,279,1125,1953,43419,7653,31901,3865,3366.5,243,1.5,20.1,80.9,140.5,3123.5,550.5,2294.9,278
2012,24,Maryland,5884868,190395,28086,373,1237,10173,16303,162309,33803,113550,14956,3235.4,477.3,6.3,21,172.9,277,2758.1,574.4,1929.5,254.1
2012,26,Michigan,9882519,294211,44962,701,4635,10423,29203,249249,65560,158609,25080,2977.1,455,7.1,46.9,105.5,295.5,2522.1,663.4,1604.9,253.8
2012,44,Rhode Island,1050304,29696,2657,36,292,715,1614,27039,5929,18478,2632,2827.4,253,3.4,27.8,68.1,153.7,2574.4,564.5,1759.3,250.6
2012,51,Virginia,8186628,194110,15676,322,1505,4718,9131,178434,29651,139654,9129,2371.1,191.5,3.9,18.4,57.6,111.5,2179.6,362.2,1705.9,111.5
2012,53,Washington,6895318,274930,20553,217,2250,5801,12285,254377,61376,166338,26663,3987.2,298.1,3.1,32.6,84.1,178.2,3689.1,890.1,2412.3,386.7
2013,2,Alaska,737259,25920,4709,34,657,623,3127,21211,2917,16599,1695,3515.7,638.7,4.6,89.1,84.5,424.1,2877,395.7,2251.4,229.9
2013,15,Hawaii,1408987,48851,3585,32,366,934,2111,45266,7777,32928,4561,3467.1,254.4,2.3,26,66.3,149.8,3212.7,552,2337,323.7
2013,24,Maryland,5938737,186153,28235,384,1179,10048,16124,157918,31950,112551,13417,3134.5,475.4,6.5,19.9,169.2,271.5,2659.1,538,1895.2,225.9
2013,26,Michigan,9898193,274892,44757,625,4506,10093,27254,230135,56256,149794,24085,2777.2,452.2,6.3,45.5,102,275.3,2325,568.3,1513.3,243.3
2013,44,Rhode Island,1053354,28451,2710,31,333,683,1547,25741,5621,17881,2239,2701,257.3,2.9,31.6,64.8,146.9,2443.7,533.6,1697.5,212.6
2013,51,Virginia,8270345,187913,16355,320,1476,4574,9111,171558,26717,136215,8626,2272.2,197.8,3.9,17.8,55.3,110.2,2074.4,323,1647,104.3
2013,53,Washington,6973742,279362,20223,167,2072,5829,11623,259139,58487,172227,28425,4005.9,290,2.4,29.7,83.6,166.7,3715.9,838.7,2469.6,407.6
